timestamp,fish_id,x_coordinate,y_coordinate
1765305151.280965,24,365,174
1765305151.280965,12,400,354
1765305151.280965,23,326,154
1765305151.280965,8,256,512
1765305151.280965,16,1053,670
1765305151.280965,17,330,324
1765305151.330703,1,516,384
1765305151.330703,4,369,486
1765305151.330703,6,334,291
1765305151.330703,7,672,538
1765305151.330703,2,270,438
1765305151.330703,3,340,367
1765305151.330703,5,388,198
1765305151.330703,12,405,363
1765305151.330703,9,645,578
1765305151.330703,22,382,393
1765305151.330703,10,326,198
1765305151.330703,24,365,174
1765305151.330703,23,326,154
1765305151.330703,16,1054,671
1765305151.330703,8,256,513
1765305151.406105,1,519,386
1765305151.406105,4,369,486
1765305151.406105,7,672,538
1765305151.406105,2,270,441
1765305151.406105,6,339,293
1765305151.406105,3,341,365
1765305151.406105,5,387,198
1765305151.406105,22,385,394
1765305151.406105,9,645,578
1765305151.406105,12,408,368
1765305151.406105,10,325,196
1765305151.406105,24,365,174
1765305151.406105,16,1052,670
1765305151.406105,8,256,515
1765305151.406105,23,326,154
1765305151.4653194,1,520,386
1765305151.4653194,4,369,486
1765305151.4653194,7,672,538
1765305151.4653194,3,342,365
1765305151.4653194,6,338,293
1765305151.4653194,2,270,442
1765305151.4653194,5,388,198
1765305151.4653194,22,387,397
1765305151.4653194,12,413,372
1765305151.4653194,9,645,579
1765305151.4653194,8,257,515
1765305151.4653194,24,365,174
1765305151.4653194,10,325,195
1765305151.4653194,16,1052,671
1765305151.4653194,23,326,155
1765305151.5376737,1,522,387
1765305151.5376737,3,343,363
1765305151.5376737,4,369,486
1765305151.5376737,7,672,538
1765305151.5376737,6,338,295
1765305151.5376737,5,389,198
1765305151.5376737,12,415,376
1765305151.5376737,2,269,444
1765305151.5376737,9,646,579
1765305151.5376737,22,389,400
1765305151.5376737,8,257,515
1765305151.5376737,24,366,174
1765305151.5376737,16,1053,670
1765305151.5376737,10,325,195
1765305151.5376737,23,326,154
1765305151.5955276,1,523,387
1765305151.5955276,3,343,360
1765305151.5955276,7,674,537
1765305151.5955276,4,369,487
1765305151.5955276,5,388,198
1765305151.5955276,6,339,297
1765305151.5955276,2,268,445
1765305151.5955276,22,392,403
1765305151.5955276,12,417,378
1765305151.5955276,9,646,578
1765305151.5955276,8,258,516
1765305151.5955276,23,326,155
1765305151.5955276,16,1053,670
1765305151.5955276,24,366,174
1765305151.5955276,27,332,277
1765305151.5955276,10,325,194
1765305151.6482682,3,344,359
1765305151.6482682,1,525,388
1765305151.6482682,7,674,537
1765305151.6482682,4,369,487
1765305151.6482682,5,387,197
1765305151.6482682,6,340,302
1765305151.6482682,12,420,382
1765305151.6482682,2,268,446
1765305151.6482682,22,394,406
1765305151.6482682,9,646,578
1765305151.6482682,8,258,517
1765305151.6482682,23,326,155
1765305151.6482682,16,1052,670
1765305151.6482682,27,326,276
1765305151.6482682,10,325,193
1765305151.6482682,24,366,174
1765305151.7056158,3,343,357
1765305151.7056158,1,526,389
1765305151.7056158,7,674,538
1765305151.7056158,4,369,487
1765305151.7056158,6,335,303
1765305151.7056158,22,395,408
